request_id,timestamp,mode,source_region,dest_region,cross_region,traffic,distance_km,eta,pickup_time,prep_time,delivery_time,request_latency_ms,computation_latency_ms,network_latency_ms,success,error,gossip_enabled,gossip_interval,node_count
req-00037-174447,1787490849.7720478,edgesync,EAST,WEST,True,High,5.3196,35.57,14.29,9.77,21.28,4085.24,0.143,2011.852,True,,True,5.0,3
req-00038-557787,1787490853.8465052,edgesync,WEST,EAST,True,Low,14.597,31.48,2.74,6.46,25.02,4074.401,0.195,2013.154,True,,True,5.0,3
req-00039-a2d4d5,1787490855.8948994,edgesync,WEST,WEST,False,Low,13.5618,35.59,12.34,7.46,23.25,2048.339,0.094,0.0,True,,True,5.0,3
req-00040-f7765b,1787490857.9313257,edgesync,EAST,EAST,False,Low,10.4285,27.9,6.65,10.02,17.88,2036.374,0.168,0.0,True,,True,5.0,3
req-00041-494665,1787490859.9809809,edgesync,EAST,EAST,False,Low,16.0607,41.2,13.67,9.29,27.53,2049.604,0.121,0.0,True,,True,5.0,3
req-00042-9e4677,1787490862.0558867,edgesync,WEST,WEST,False,Low,4.3962,17.92,2.56,10.38,7.54,2074.845,0.165,0.0,True,,True,5.0,3
req-00043-c4ebd4,1787490864.1403124,edgesync,WEST,WEST,False,Low,16.9286,39.42,6.44,10.4,29.02,2084.36,0.201,0.0,True,,True,5.0,3
req-00044-6caf39,1787490868.2373316,edgesync,CENTRAL,WEST,True,Medium,20.6269,58.13,7.54,8.62,49.5,4096.946,0.094,2023.069,True,,True,5.0,3
req-00045-2f3e57,1787490872.3163183,edgesync,EAST,WEST,True,High,10.4041,49.24,7.62,6.17,41.62,4078.922,0.191,2020.568,True,,True,5.0,3
req-00046-2137bd,1787490874.36038,edgesync,CENTRAL,CENTRAL,False,High,10.0921,47.13,2.55,6.77,40.37,2043.925,0.135,0.0,True,,True,5.0,3
req-00047-44f3ff,1787490876.4046779,edgesync,WEST,WEST,False,High,15.4116,76.29,6.32,14.64,61.65,2044.247,1.297,0.0,True,,True,5.0,3
req-00048-ece980,1787490878.4445593,edgesync,EAST,EAST,False,Medium,6.0158,24.6,6.38,10.16,14.44,2039.838,0.119,0.0,True,,True,5.0,3
req-00049-021452,1787490882.5276299,edgesync,EAST,CENTRAL,True,Medium,33.7872,93.21,12.12,6.43,81.09,4083.022,0.45,2030.951,True,,True,5.0,3
req-00050-271a20,1787490886.5982044,edgesync,CENTRAL,WEST,True,High,22.8329,103.51,12.18,8.49,91.33,4070.514,0.076,2021.573,True,,True,5.0,3
req-00051-ea2b1b,1787490890.732771,edgesync,EAST,CENTRAL,True,High,17.7333,80.18,7.45,9.24,70.93,4134.509,0.137,2089.077,True,,True,5.0,3
req-00052-dc37af,1787490894.7828047,edgesync,CENTRAL,WEST,True,Low,21.1495,48.98,12.73,9.01,36.26,4049.962,0.133,2022.247,True,,True,5.0,3
req-00053-c6e7ae,1787490896.8283195,edgesync,WEST,WEST,False,Medium,9.6215,35.61,12.51,10.06,23.09,2045.451,0.14,0.0,True,,True,5.0,3
req-00054-22151a,1787490898.8671868,edgesync,EAST,EAST,False,Medium,13.1993,45.64,6.75,13.96,31.68,2038.813,0.11,0.0,True,,True,5.0,3
req-00055-2e4ecb,1787490902.9806242,edgesync,CENTRAL,WEST,True,Medium,19.8263,61.23,2.28,13.65,47.58,4113.396,0.327,2045.788,True,,True,5.0,3
req-00056-e05105,1787490907.06848,edgesync,EAST,CENTRAL,True,Low,18.0189,45.03,7.36,14.14,30.89,4087.788,0.091,2022.906,True,,True,5.0,3
req-00057-474cee,1787490911.1312172,edgesync,WEST,CENTRAL,True,High,26.4621,119.19,13.34,8.62,105.85,4062.674,0.19,2017.983,True,,True,5.0,3
req-00058-7eee31,1787490915.2286732,edgesync,CENTRAL,WEST,True,Medium,30.2243,80.72,7.21,8.19,72.54,4097.389,0.147,2022.578,True,,True,5.0,3
req-00059-8b048b,1787490919.3187742,edgesync,EAST,CENTRAL,True,High,28.132,120.13,2.71,7.6,112.53,4090.052,0.118,2010.766,True,,True,5.0,3
req-00060-ea4ab8,1787490923.359671,edgesync,WEST,CENTRAL,True,Low,20.6822,49.65,14.19,7.92,35.46,4040.856,0.154,2012.299,True,,True,5.0,3
req-00061-91f32e,1787490927.4462588,edgesync,CENTRAL,WEST,True,Medium,25.4867,71.42,6.91,10.25,61.17,4086.537,0.223,2016.385,True,,True,5.0,3
req-00062-fce4a3,1787490929.4881182,edgesync,CENTRAL,CENTRAL,False,Medium,9.3733,30.08,7.59,7.09,22.5,2041.798,0.363,0.0,True,,True,5.0,3
req-00063-f980da,1787490933.5550869,edgesync,WEST,CENTRAL,True,Medium,13.9558,40.6,7.11,6.13,33.49,4066.906,0.111,2021.674,True,,True,5.0,3
req-00064-2397ac,1787490937.5987036,edgesync,EAST,WEST,True,High,12.7991,63.88,12.68,10.01,51.2,4043.564,0.131,2024.058,True,,True,5.0,3
req-00065-2f422d,1787490941.658489,edgesync,EAST,CENTRAL,True,Low,37.0083,74.23,6.78,10.78,63.44,4059.748,0.08,2018.248,True,,True,5.0,3
req-00066-b0bc6d,1787490945.7317138,edgesync,EAST,WEST,True,Medium,6.5465,23.32,7.3,7.6,15.71,4073.184,0.138,2016.386,True,,True,5.0,3
req-00067-1d63e0,1787490949.800152,edgesync,WEST,CENTRAL,True,High,27.8886,118.02,2.31,6.46,111.55,4068.397,0.114,2036.461,True,,True,5.0,3
req-00068-83ff37,1787490951.8244846,edgesync,EAST,EAST,False,Low,7.1712,26.46,13.77,14.17,12.29,2024.278,0.11,0.0,True,,True,5.0,3
req-00069-363e4b,1787490955.8941143,edgesync,EAST,CENTRAL,True,Low,10.3076,25.19,7.52,6.71,17.67,4069.582,0.108,2017.843,True,,True,5.0,3
req-00070-5298d0,1787490959.9655921,edgesync,CENTRAL,EAST,True,High,23.942,102.49,2.72,6.73,95.77,4071.42,0.146,2021.969,True,,True,5.0,3
req-00071-921ff3,1787490964.0361767,edgesync,EAST,WEST,True,High,15.4992,75.51,12.52,13.51,62.0,4070.514,0.149,2011.593,True,,True,5.0,3
req-00072-e662ea,1787490968.0806305,edgesync,CENTRAL,WEST,True,Low,31.9871,71.15,12.37,16.32,54.84,4044.417,0.107,2018.53,True,,True,5.0,3
req-00073-de37f8,1787490972.124523,edgesync,WEST,EAST,True,Low,7.311,20.56,7.52,8.02,12.53,4043.848,0.149,2010.856,True,,True,5.0,3
req-00074-26aeee,1787490974.148609,edgesync,WEST,WEST,False,High,5.7932,37.34,14.16,6.65,23.17,2024.034,0.136,0.0,True,,True,5.0,3
req-00075-587669,1787490978.1896806,edgesync,WEST,CENTRAL,True,Medium,23.1903,70.42,7.58,14.76,55.66,4040.985,0.099,2010.187,True,,True,5.0,3
req-00076-7b8dfe,1787490982.2448924,edgesync,EAST,CENTRAL,True,Medium,29.9795,78.71,2.69,6.76,71.95,4055.146,0.117,2018.079,True,,True,5.0,3
req-00077-740bce,1787490986.3057876,edgesync,EAST,WEST,True,Low,13.0283,34.74,12.4,6.05,22.33,4060.84,0.16,2019.768,True,,True,5.0,3
req-00078-306541,1787490988.3324687,edgesync,CENTRAL,CENTRAL,False,Medium,10.2421,37.98,13.4,10.74,24.58,2026.624,0.165,0.0,True,,True,5.0,3
req-00079-efe237,1787490992.3993833,edgesync,CENTRAL,EAST,True,High,7.946,41.43,7.61,9.65,31.78,4066.852,0.117,2017.889,True,,True,5.0,3
req-00080-401fcf,1787490996.467879,edgesync,CENTRAL,WEST,True,High,20.2481,88.06,6.91,7.07,80.99,4068.419,0.258,2022.136,True,,True,5.0,3
