request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,edgesync_remote,16,trial2,False,1787682070.068,2026-08-25 23:51:10,2026-08-25 23:51:10,16.279,0.482,3.568,0.482,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0002,edgesync_remote,16,trial2,False,1787682070.072,2026-08-25 23:51:10,2026-08-25 23:51:10,19.608,0.334,4.633,0.334,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0003,edgesync_remote,16,trial2,False,1787682070.087,2026-08-25 23:51:10,2026-08-25 23:51:10,33.266,1.082,5.852,1.082,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0004,edgesync_remote,16,trial2,False,1787682070.088,2026-08-25 23:51:10,2026-08-25 23:51:10,33.818,0.4,8.07,0.4,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0005,edgesync_remote,16,trial2,False,1787682070.088,2026-08-25 23:51:10,2026-08-25 23:51:10,32.013,0.345,6.458,0.345,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0006,edgesync_remote,16,trial2,False,1787682070.096,2026-08-25 23:51:10,2026-08-25 23:51:10,39.396,0.338,6.25,0.338,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0007,edgesync_remote,16,trial2,False,1787682070.106,2026-08-25 23:51:10,2026-08-25 23:51:10,46.749,0.657,3.972,0.657,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0008,edgesync_remote,16,trial2,False,1787682070.115,2026-08-25 23:51:10,2026-08-25 23:51:10,54.186,0.17,12.944,0.17,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0009,edgesync_remote,16,trial2,False,1787682070.106,2026-08-25 23:51:10,2026-08-25 23:51:10,44.51,0.329,8.158,0.329,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0010,edgesync_remote,16,trial2,False,1787682070.114,2026-08-25 23:51:10,2026-08-25 23:51:10,50.719,0.157,7.219,0.157,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0011,edgesync_remote,16,trial2,False,1787682070.124,2026-08-25 23:51:10,2026-08-25 23:51:10,57.611,0.324,7.296,0.324,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0012,edgesync_remote,16,trial2,False,1787682070.117,2026-08-25 23:51:10,2026-08-25 23:51:10,49.549,0.334,8.561,0.334,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0013,edgesync_remote,16,trial2,False,1787682070.114,2026-08-25 23:51:10,2026-08-25 23:51:10,43.73,0.367,6.539,0.367,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0014,edgesync_remote,16,trial2,False,1787682070.127,2026-08-25 23:51:10,2026-08-25 23:51:10,57.583,0.195,4.978,0.195,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0015,edgesync_remote,16,trial2,False,1787682070.134,2026-08-25 23:51:10,2026-08-25 23:51:10,61.976,0.204,7.863,0.204,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0016,edgesync_remote,16,trial2,False,1787682070.115,2026-08-25 23:51:10,2026-08-25 23:51:10,41.293,0.418,7.602,0.418,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0017,edgesync_remote,16,trial2,False,1787682070.141,2026-08-25 23:51:10,2026-08-25 23:51:10,66.871,0.263,6.523,0.263,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
req_0018,edgesync_remote,16,trial2,False,1787682070.138,2026-08-25 23:51:10,2026-08-25 23:51:10,61.668,0.443,8.829,0.443,True,200,False,EAST,WEST,remote,621a3e69251d0f582d1b3cc3eb789f9a6ad5de2ee33fdd1f8736c661aee0057e
