request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,centralized,1,trial1,False,1787682050.442,2026-08-25 23:50:50,2026-08-25 23:50:50,28.865,0.091,0.0,0.091,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0002,centralized,1,trial1,False,1787682050.446,2026-08-25 23:50:50,2026-08-25 23:50:50,3.605,0.103,0.0,0.103,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0003,centralized,1,trial1,False,1787682050.449,2026-08-25 23:50:50,2026-08-25 23:50:50,3.298,0.068,0.0,0.068,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0004,centralized,1,trial1,False,1787682050.453,2026-08-25 23:50:50,2026-08-25 23:50:50,3.148,0.053,0.0,0.053,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0005,centralized,1,trial1,False,1787682050.456,2026-08-25 23:50:50,2026-08-25 23:50:50,2.905,0.094,0.0,0.094,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0006,centralized,1,trial1,False,1787682050.459,2026-08-25 23:50:50,2026-08-25 23:50:50,2.749,0.055,0.0,0.055,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0007,centralized,1,trial1,False,1787682050.461,2026-08-25 23:50:50,2026-08-25 23:50:50,2.645,0.058,0.0,0.058,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0008,centralized,1,trial1,False,1787682050.465,2026-08-25 23:50:50,2026-08-25 23:50:50,3.448,0.079,0.0,0.079,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0009,centralized,1,trial1,False,1787682050.468,2026-08-25 23:50:50,2026-08-25 23:50:50,2.629,0.211,0.0,0.211,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0010,centralized,1,trial1,False,1787682050.471,2026-08-25 23:50:50,2026-08-25 23:50:50,2.926,0.084,0.0,0.084,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
