request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,edgesync_local,2,trial1,False,1787682057.49,2026-08-25 23:50:57,2026-08-25 23:50:57,7.225,0.197,0.0,0.197,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0002,edgesync_local,2,trial1,False,1787682057.49,2026-08-25 23:50:57,2026-08-25 23:50:57,6.542,0.367,0.0,0.367,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0003,edgesync_local,2,trial1,False,1787682057.495,2026-08-25 23:50:57,2026-08-25 23:50:57,4.823,0.249,0.0,0.249,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0004,edgesync_local,2,trial1,False,1787682057.495,2026-08-25 23:50:57,2026-08-25 23:50:57,4.4,0.211,0.0,0.211,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0005,edgesync_local,2,trial1,False,1787682057.499,2026-08-25 23:50:57,2026-08-25 23:50:57,3.724,0.173,0.0,0.173,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0006,edgesync_local,2,trial1,False,1787682057.499,2026-08-25 23:50:57,2026-08-25 23:50:57,3.699,0.211,0.0,0.211,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0007,edgesync_local,2,trial1,False,1787682057.504,2026-08-25 23:50:57,2026-08-25 23:50:57,5.198,0.178,0.0,0.178,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0008,edgesync_local,2,trial1,False,1787682057.504,2026-08-25 23:50:57,2026-08-25 23:50:57,4.741,0.356,0.0,0.356,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0009,edgesync_local,2,trial1,False,1787682057.509,2026-08-25 23:50:57,2026-08-25 23:50:57,5.643,0.195,0.0,0.195,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0010,edgesync_local,2,trial1,False,1787682057.508,2026-08-25 23:50:57,2026-08-25 23:50:57,4.531,0.913,0.0,0.913,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0011,edgesync_local,2,trial1,False,1787682057.512,2026-08-25 23:50:57,2026-08-25 23:50:57,3.182,0.185,0.0,0.185,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0012,edgesync_local,2,trial1,False,1787682057.513,2026-08-25 23:50:57,2026-08-25 23:50:57,3.465,0.166,0.0,0.166,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0013,edgesync_local,2,trial1,False,1787682057.514,2026-08-25 23:50:57,2026-08-25 23:50:57,2.1,0.173,0.0,0.173,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0014,edgesync_local,2,trial1,False,1787682057.516,2026-08-25 23:50:57,2026-08-25 23:50:57,2.673,0.178,0.0,0.178,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0015,edgesync_local,2,trial1,False,1787682057.517,2026-08-25 23:50:57,2026-08-25 23:50:57,2.758,0.235,0.0,0.235,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0016,edgesync_local,2,trial1,False,1787682057.52,2026-08-25 23:50:57,2026-08-25 23:50:57,4.244,0.262,0.0,0.262,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0017,edgesync_local,2,trial1,False,1787682057.521,2026-08-25 23:50:57,2026-08-25 23:50:57,4.061,0.212,0.0,0.212,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0018,edgesync_local,2,trial1,False,1787682057.524,2026-08-25 23:50:57,2026-08-25 23:50:57,3.762,0.256,0.0,0.256,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0019,edgesync_local,2,trial1,False,1787682057.525,2026-08-25 23:50:57,2026-08-25 23:50:57,4.244,0.167,0.0,0.167,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0020,edgesync_local,2,trial1,False,1787682057.527,2026-08-25 23:50:57,2026-08-25 23:50:57,3.22,0.175,0.0,0.175,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0021,edgesync_local,2,trial1,False,1787682057.528,2026-08-25 23:50:57,2026-08-25 23:50:57,3.037,0.165,0.0,0.165,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0022,edgesync_local,2,trial1,False,1787682057.53,2026-08-25 23:50:57,2026-08-25 23:50:57,2.601,0.167,0.0,0.167,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0023,edgesync_local,2,trial1,False,1787682057.531,2026-08-25 23:50:57,2026-08-25 23:50:57,2.762,0.157,0.0,0.157,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0024,edgesync_local,2,trial1,False,1787682057.533,2026-08-25 23:50:57,2026-08-25 23:50:57,2.703,0.326,0.0,0.326,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0025,edgesync_local,2,trial1,False,1787682057.534,2026-08-25 23:50:57,2026-08-25 23:50:57,2.802,0.321,0.0,0.321,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0026,edgesync_local,2,trial1,False,1787682057.535,2026-08-25 23:50:57,2026-08-25 23:50:57,2.873,0.197,0.0,0.197,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0027,edgesync_local,2,trial1,False,1787682057.536,2026-08-25 23:50:57,2026-08-25 23:50:57,2.323,0.199,0.0,0.199,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0028,edgesync_local,2,trial1,False,1787682057.539,2026-08-25 23:50:57,2026-08-25 23:50:57,3.113,0.188,0.0,0.188,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0029,edgesync_local,2,trial1,False,1787682057.54,2026-08-25 23:50:57,2026-08-25 23:50:57,3.365,0.171,0.0,0.171,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0030,edgesync_local,2,trial1,False,1787682057.542,2026-08-25 23:50:57,2026-08-25 23:50:57,2.808,0.194,0.0,0.194,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0031,edgesync_local,2,trial1,False,1787682057.543,2026-08-25 23:50:57,2026-08-25 23:50:57,2.71,0.154,0.0,0.154,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0032,edgesync_local,2,trial1,False,1787682057.544,2026-08-25 23:50:57,2026-08-25 23:50:57,2.784,0.185,0.0,0.185,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0033,edgesync_local,2,trial1,False,1787682057.546,2026-08-25 23:50:57,2026-08-25 23:50:57,2.88,0.153,0.0,0.153,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0034,edgesync_local,2,trial1,False,1787682057.547,2026-08-25 23:50:57,2026-08-25 23:50:57,2.586,0.18,0.0,0.18,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0035,edgesync_local,2,trial1,False,1787682057.549,2026-08-25 23:50:57,2026-08-25 23:50:57,2.836,0.281,0.0,0.281,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0036,edgesync_local,2,trial1,False,1787682057.55,2026-08-25 23:50:57,2026-08-25 23:50:57,3.015,0.172,0.0,0.172,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0037,edgesync_local,2,trial1,False,1787682057.551,2026-08-25 23:50:57,2026-08-25 23:50:57,2.57,0.269,0.0,0.269,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0038,edgesync_local,2,trial1,False,1787682057.554,2026-08-25 23:50:57,2026-08-25 23:50:57,3.591,0.246,0.0,0.246,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0039,edgesync_local,2,trial1,False,1787682057.555,2026-08-25 23:50:57,2026-08-25 23:50:57,4.071,0.16,0.0,0.16,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
req_0040,edgesync_local,2,trial1,False,1787682057.558,2026-08-25 23:50:57,2026-08-25 23:50:57,3.611,0.227,0.0,0.227,True,200,False,EAST,EAST,local,41bb6bfdc1addb1bccf419ef85368c3707a174331e092975df3d327c905c51b6
