request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,centralized,64,trial2,False,1787682055.746,2026-08-25 23:50:55,2026-08-25 23:50:55,13.125,0.183,0.0,0.183,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0002,centralized,64,trial2,False,1787682055.745,2026-08-25 23:50:55,2026-08-25 23:50:55,11.276,0.402,0.0,0.402,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0003,centralized,64,trial2,False,1787682055.751,2026-08-25 23:50:55,2026-08-25 23:50:55,15.87,0.535,0.0,0.535,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0004,centralized,64,trial2,False,1787682055.752,2026-08-25 23:50:55,2026-08-25 23:50:55,16.293,0.179,0.0,0.179,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0005,centralized,64,trial2,False,1787682055.755,2026-08-25 23:50:55,2026-08-25 23:50:55,17.549,0.286,0.0,0.286,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0006,centralized,64,trial2,False,1787682055.758,2026-08-25 23:50:55,2026-08-25 23:50:55,19.445,0.166,0.0,0.166,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0007,centralized,64,trial2,False,1787682055.77,2026-08-25 23:50:55,2026-08-25 23:50:55,29.958,0.163,0.0,0.163,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0008,centralized,64,trial2,False,1787682055.756,2026-08-25 23:50:55,2026-08-25 23:50:55,14.461,0.2,0.0,0.2,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0009,centralized,64,trial2,False,1787682055.767,2026-08-25 23:50:55,2026-08-25 23:50:55,23.598,0.417,0.0,0.417,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0010,centralized,64,trial2,False,1787682055.773,2026-08-25 23:50:55,2026-08-25 23:50:55,27.694,0.334,0.0,0.334,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0011,centralized,64,trial2,False,1787682055.765,2026-08-25 23:50:55,2026-08-25 23:50:55,17.598,0.189,0.0,0.189,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0012,centralized,64,trial2,False,1787682055.768,2026-08-25 23:50:55,2026-08-25 23:50:55,20.873,0.162,0.0,0.162,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0013,centralized,64,trial2,False,1787682055.785,2026-08-25 23:50:55,2026-08-25 23:50:55,38.193,0.337,0.0,0.337,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0014,centralized,64,trial2,False,1787682055.787,2026-08-25 23:50:55,2026-08-25 23:50:55,38.739,0.445,0.0,0.445,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0015,centralized,64,trial2,False,1787682055.781,2026-08-25 23:50:55,2026-08-25 23:50:55,30.666,0.354,0.0,0.354,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0016,centralized,64,trial2,False,1787682055.79,2026-08-25 23:50:55,2026-08-25 23:50:55,37.458,0.245,0.0,0.245,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0017,centralized,64,trial2,False,1787682055.784,2026-08-25 23:50:55,2026-08-25 23:50:55,32.129,0.454,0.0,0.454,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0018,centralized,64,trial2,False,1787682055.785,2026-08-25 23:50:55,2026-08-25 23:50:55,30.055,0.206,0.0,0.206,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0019,centralized,64,trial2,False,1787682055.788,2026-08-25 23:50:55,2026-08-25 23:50:55,33.667,0.175,0.0,0.175,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0020,centralized,64,trial2,False,1787682055.78,2026-08-25 23:50:55,2026-08-25 23:50:55,19.114,0.406,0.0,0.406,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0021,centralized,64,trial2,False,1787682055.792,2026-08-25 23:50:55,2026-08-25 23:50:55,30.179,0.155,0.0,0.155,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0022,centralized,64,trial2,False,1787682055.783,2026-08-25 23:50:55,2026-08-25 23:50:55,21.876,0.182,0.0,0.182,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0023,centralized,64,trial2,False,1787682055.807,2026-08-25 23:50:55,2026-08-25 23:50:55,44.265,0.201,0.0,0.201,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0024,centralized,64,trial2,False,1787682055.794,2026-08-25 23:50:55,2026-08-25 23:50:55,29.014,0.423,0.0,0.423,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0025,centralized,64,trial2,False,1787682055.805,2026-08-25 23:50:55,2026-08-25 23:50:55,34.765,0.218,0.0,0.218,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0026,centralized,64,trial2,False,1787682055.809,2026-08-25 23:50:55,2026-08-25 23:50:55,39.563,0.24,0.0,0.24,True,200,False,EAST,EAST,local,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
req_0027,centralized,64,trial2,False,1787682055.804,2026-08-25 23:50:55,2026-08-25 23:50:55,34.84,0.164,0.0,0.164,True,200,False,EAST,WEST,remote,220ab1e30391ce3753e2edbe4fe29d874c57f3b689980c74ff72eaf7bc117ef6
