trial_id,request_id,architecture,source_region,target_region,locality_configuration,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial2,req_0001,Centralized,EAST,CENTRAL,L10,False,True,4.21,0.476,0.0,0.476,1787630878.728,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0002,Centralized,WEST,EAST,L10,False,True,3.102,0.238,0.0,0.238,1787630878.731,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0003,Centralized,CENTRAL,EAST,L10,False,True,3.828,0.319,0.0,0.319,1787630878.735,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0004,Centralized,EAST,WEST,L10,False,True,4.38,0.337,0.0,0.337,1787630878.739,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0005,Centralized,WEST,CENTRAL,L10,False,True,4.755,0.5,0.0,0.5,1787630878.744,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0006,Centralized,CENTRAL,WEST,L10,False,True,4.251,0.462,0.0,0.462,1787630878.748,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0007,Centralized,EAST,CENTRAL,L10,False,True,4.519,0.507,0.0,0.507,1787630878.753,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0008,Centralized,WEST,EAST,L10,False,True,4.122,0.479,0.0,0.479,1787630878.757,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0009,Centralized,CENTRAL,EAST,L10,False,True,4.581,0.483,0.0,0.483,1787630878.762,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0010,Centralized,EAST,EAST,L10,True,True,4.334,0.479,0.0,0.479,1787630878.766,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0011,Centralized,WEST,EAST,L10,False,True,3.805,0.992,0.0,0.992,1787630878.77,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0012,Centralized,CENTRAL,EAST,L10,False,True,3.242,0.292,0.0,0.292,1787630878.773,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0013,Centralized,EAST,WEST,L10,False,True,3.318,0.342,0.0,0.342,1787630878.776,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0014,Centralized,WEST,CENTRAL,L10,False,True,4.343,0.451,0.0,0.451,1787630878.781,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0015,Centralized,CENTRAL,WEST,L10,False,True,3.167,0.324,0.0,0.324,1787630878.784,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
trial2,req_0016,Centralized,EAST,CENTRAL,L10,False,True,3.885,0.445,0.0,0.445,1787630878.788,4685861ab96ba1d0f8daa7cd6feb29e8296c58eee1a32d8faf260561a4b6a2e9
