trial_id,request_id,architecture,source_region,target_region,locality_configuration,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial2,req_0001,Centralized,EAST,EAST,L90,True,True,2.665,0.192,0.0,0.192,1787630850.426,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0002,Centralized,WEST,WEST,L90,True,True,3.717,0.207,0.0,0.207,1787630850.43,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0003,Centralized,CENTRAL,CENTRAL,L90,True,True,3.469,0.168,0.0,0.168,1787630850.433,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0004,Centralized,EAST,EAST,L90,True,True,4.181,0.198,0.0,0.198,1787630850.438,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0005,Centralized,WEST,WEST,L90,True,True,3.916,0.203,0.0,0.203,1787630850.442,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0006,Centralized,CENTRAL,EAST,L90,False,True,2.233,0.119,0.0,0.119,1787630850.444,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0007,Centralized,EAST,EAST,L90,True,True,2.816,0.522,0.0,0.522,1787630850.447,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0008,Centralized,WEST,WEST,L90,True,True,3.231,0.2,0.0,0.2,1787630850.45,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0009,Centralized,CENTRAL,CENTRAL,L90,True,True,2.453,0.141,0.0,0.141,1787630850.452,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0010,Centralized,EAST,EAST,L90,True,True,3.154,0.154,0.0,0.154,1787630850.456,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
