trial_id,request_id,architecture,source_region,target_region,locality_configuration,configured_network_delay_ms,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial1,req_0001,Centralized,EAST,EAST,L50,5,True,True,1.427,0.142,0.0,0.142,1787634353.447,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0002,Centralized,WEST,WEST,L50,5,True,True,1.532,0.132,0.0,0.132,1787634353.449,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0003,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.455,0.127,0.0,0.127,1787634353.45,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0004,Centralized,EAST,EAST,L50,5,True,True,1.424,0.121,0.0,0.121,1787634353.451,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0005,Centralized,WEST,CENTRAL,L50,5,False,True,1.364,0.139,0.0,0.139,1787634353.453,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0006,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.27,0.115,0.0,0.115,1787634353.454,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0007,Centralized,EAST,EAST,L50,5,True,True,1.265,0.111,0.0,0.111,1787634353.455,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0008,Centralized,WEST,EAST,L50,5,False,True,1.264,0.107,0.0,0.107,1787634353.457,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0009,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.336,0.117,0.0,0.117,1787634353.458,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0010,Centralized,EAST,EAST,L50,5,True,True,1.405,0.106,0.0,0.106,1787634353.459,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0011,Centralized,WEST,WEST,L50,5,True,True,1.298,0.099,0.0,0.099,1787634353.461,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0012,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.309,0.097,0.0,0.097,1787634353.462,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0013,Centralized,EAST,EAST,L50,5,True,True,1.19,0.091,0.0,0.091,1787634353.463,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0014,Centralized,WEST,CENTRAL,L50,5,False,True,1.147,0.095,0.0,0.095,1787634353.464,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0015,Centralized,CENTRAL,WEST,L50,5,False,True,1.341,0.102,0.0,0.102,1787634353.466,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0016,Centralized,EAST,EAST,L50,5,True,True,1.246,0.133,0.0,0.133,1787634353.467,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0017,Centralized,WEST,WEST,L50,5,True,True,1.274,0.127,0.0,0.127,1787634353.468,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0018,Centralized,CENTRAL,EAST,L50,5,False,True,1.185,0.098,0.0,0.098,1787634353.469,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0019,Centralized,EAST,EAST,L50,5,True,True,1.156,0.097,0.0,0.097,1787634353.471,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0020,Centralized,WEST,EAST,L50,5,False,True,1.141,0.097,0.0,0.097,1787634353.472,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0021,Centralized,CENTRAL,EAST,L50,5,False,True,1.38,0.104,0.0,0.104,1787634353.473,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0022,Centralized,EAST,WEST,L50,5,False,True,1.313,0.176,0.0,0.176,1787634353.474,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0023,Centralized,WEST,WEST,L50,5,True,True,1.2,0.098,0.0,0.098,1787634353.476,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0024,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.263,0.103,0.0,0.103,1787634353.477,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0025,Centralized,EAST,CENTRAL,L50,5,False,True,1.339,0.1,0.0,0.1,1787634353.478,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0026,Centralized,WEST,EAST,L50,5,False,True,1.532,0.121,0.0,0.121,1787634353.48,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0027,Centralized,CENTRAL,EAST,L50,5,False,True,1.421,0.125,0.0,0.125,1787634353.481,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0028,Centralized,EAST,WEST,L50,5,False,True,1.293,0.118,0.0,0.118,1787634353.483,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0029,Centralized,WEST,WEST,L50,5,True,True,1.2,0.098,0.0,0.098,1787634353.484,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0030,Centralized,CENTRAL,EAST,L50,5,False,True,1.116,0.093,0.0,0.093,1787634353.485,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0031,Centralized,EAST,WEST,L50,5,False,True,1.141,0.093,0.0,0.093,1787634353.486,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0032,Centralized,WEST,WEST,L50,5,True,True,1.199,0.094,0.0,0.094,1787634353.487,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0033,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.328,0.126,0.0,0.126,1787634353.489,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0034,Centralized,EAST,CENTRAL,L50,5,False,True,1.279,0.095,0.0,0.095,1787634353.49,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0035,Centralized,WEST,EAST,L50,5,False,True,1.4,0.102,0.0,0.102,1787634353.491,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0036,Centralized,CENTRAL,EAST,L50,5,False,True,1.381,0.141,0.0,0.141,1787634353.493,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0037,Centralized,EAST,WEST,L50,5,False,True,1.234,0.098,0.0,0.098,1787634353.494,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0038,Centralized,WEST,CENTRAL,L50,5,False,True,1.227,0.099,0.0,0.099,1787634353.495,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0039,Centralized,CENTRAL,WEST,L50,5,False,True,1.197,0.096,0.0,0.096,1787634353.496,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0040,Centralized,EAST,EAST,L50,5,True,True,1.259,0.098,0.0,0.098,1787634353.498,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0041,Centralized,WEST,CENTRAL,L50,5,False,True,1.309,0.131,0.0,0.131,1787634353.499,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0042,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.246,0.103,0.0,0.103,1787634353.5,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0043,Centralized,EAST,EAST,L50,5,True,True,1.394,0.115,0.0,0.115,1787634353.502,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0044,Centralized,WEST,WEST,L50,5,True,True,1.252,0.112,0.0,0.112,1787634353.503,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0045,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.202,0.107,0.0,0.107,1787634353.504,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0046,Centralized,EAST,EAST,L50,5,True,True,1.202,0.101,0.0,0.101,1787634353.505,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0047,Centralized,WEST,WEST,L50,5,True,True,1.286,0.105,0.0,0.105,1787634353.507,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0048,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.305,0.105,0.0,0.105,1787634353.508,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0049,Centralized,EAST,EAST,L50,5,True,True,1.45,0.203,0.0,0.203,1787634353.509,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0050,Centralized,WEST,WEST,L50,5,True,True,1.376,0.131,0.0,0.131,1787634353.511,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0051,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.924,0.286,0.0,0.286,1787634353.513,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0052,Centralized,EAST,EAST,L50,5,True,True,1.698,0.146,0.0,0.146,1787634353.514,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0053,Centralized,WEST,EAST,L50,5,False,True,1.658,0.147,0.0,0.147,1787634353.516,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0054,Centralized,CENTRAL,CENTRAL,L50,5,True,True,1.952,0.16,0.0,0.16,1787634353.518,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0055,Centralized,EAST,CENTRAL,L50,5,False,True,1.737,0.15,0.0,0.15,1787634353.52,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0056,Centralized,WEST,EAST,L50,5,False,True,1.644,0.149,0.0,0.149,1787634353.521,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0057,Centralized,CENTRAL,EAST,L50,5,False,True,2.357,0.176,0.0,0.176,1787634353.524,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0058,Centralized,EAST,WEST,L50,5,False,True,2.342,0.392,0.0,0.392,1787634353.526,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0059,Centralized,WEST,CENTRAL,L50,5,False,True,2.78,0.177,0.0,0.177,1787634353.529,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0060,Centralized,CENTRAL,CENTRAL,L50,5,True,True,2.654,0.371,0.0,0.371,1787634353.532,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
