trial_id,request_id,architecture,source_region,target_region,locality_configuration,configured_network_delay_ms,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial2,req_0001,Centralized,EAST,EAST,L50,50,True,True,1.44,0.124,0.0,0.124,1787634378.109,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0002,Centralized,WEST,WEST,L50,50,True,True,1.366,0.117,0.0,0.117,1787634378.11,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0003,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.283,0.115,0.0,0.115,1787634378.111,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0004,Centralized,EAST,EAST,L50,50,True,True,1.544,0.117,0.0,0.117,1787634378.113,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0005,Centralized,WEST,CENTRAL,L50,50,False,True,1.816,0.352,0.0,0.352,1787634378.115,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0006,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.405,0.126,0.0,0.126,1787634378.116,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0007,Centralized,EAST,EAST,L50,50,True,True,1.343,0.098,0.0,0.098,1787634378.117,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0008,Centralized,WEST,EAST,L50,50,False,True,1.243,0.097,0.0,0.097,1787634378.119,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0009,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.449,0.098,0.0,0.098,1787634378.12,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0010,Centralized,EAST,EAST,L50,50,True,True,1.518,0.126,0.0,0.126,1787634378.122,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0011,Centralized,WEST,WEST,L50,50,True,True,1.526,0.102,0.0,0.102,1787634378.123,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0012,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.399,0.136,0.0,0.136,1787634378.125,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0013,Centralized,EAST,EAST,L50,50,True,True,1.246,0.104,0.0,0.104,1787634378.126,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0014,Centralized,WEST,CENTRAL,L50,50,False,True,1.165,0.104,0.0,0.104,1787634378.127,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0015,Centralized,CENTRAL,WEST,L50,50,False,True,1.269,0.11,0.0,0.11,1787634378.128,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0016,Centralized,EAST,EAST,L50,50,True,True,1.323,0.137,0.0,0.137,1787634378.13,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0017,Centralized,WEST,WEST,L50,50,True,True,1.309,0.121,0.0,0.121,1787634378.131,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0018,Centralized,CENTRAL,EAST,L50,50,False,True,1.368,0.137,0.0,0.137,1787634378.132,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0019,Centralized,EAST,EAST,L50,50,True,True,1.351,0.113,0.0,0.113,1787634378.134,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0020,Centralized,WEST,EAST,L50,50,False,True,1.425,0.115,0.0,0.115,1787634378.135,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0021,Centralized,CENTRAL,EAST,L50,50,False,True,1.386,0.117,0.0,0.117,1787634378.136,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0022,Centralized,EAST,WEST,L50,50,False,True,1.287,0.11,0.0,0.11,1787634378.138,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0023,Centralized,WEST,WEST,L50,50,True,True,1.185,0.105,0.0,0.105,1787634378.139,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0024,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.391,0.117,0.0,0.117,1787634378.14,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0025,Centralized,EAST,CENTRAL,L50,50,False,True,1.256,0.106,0.0,0.106,1787634378.142,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0026,Centralized,WEST,EAST,L50,50,False,True,1.585,0.108,0.0,0.108,1787634378.143,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial2,req_0027,Centralized,CENTRAL,EAST,L50,50,False,True,1.542,0.127,0.0,0.127,1787634378.145,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
