trial_id,request_id,architecture,source_region,target_region,locality_configuration,configured_network_delay_ms,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial2,req_0001,Centralized,EAST,EAST,L90,50,True,True,2.503,0.169,0.0,0.169,1787634343.494,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0002,Centralized,WEST,WEST,L90,50,True,True,3.325,0.429,0.0,0.429,1787634343.497,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0003,Centralized,CENTRAL,CENTRAL,L90,50,True,True,2.873,0.185,0.0,0.185,1787634343.5,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0004,Centralized,EAST,EAST,L90,50,True,True,2.852,0.197,0.0,0.197,1787634343.503,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0005,Centralized,WEST,WEST,L90,50,True,True,1.935,0.161,0.0,0.161,1787634343.505,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0006,Centralized,CENTRAL,EAST,L90,50,False,True,2.965,0.392,0.0,0.392,1787634343.508,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0007,Centralized,EAST,EAST,L90,50,True,True,3.574,0.439,0.0,0.439,1787634343.511,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0008,Centralized,WEST,WEST,L90,50,True,True,2.573,0.186,0.0,0.186,1787634343.514,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0009,Centralized,CENTRAL,CENTRAL,L90,50,True,True,2.829,0.185,0.0,0.185,1787634343.517,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0010,Centralized,EAST,EAST,L90,50,True,True,1.957,0.193,0.0,0.193,1787634343.519,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0011,Centralized,WEST,WEST,L90,50,True,True,3.437,0.434,0.0,0.434,1787634343.522,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0012,Centralized,CENTRAL,CENTRAL,L90,50,True,True,2.336,0.202,0.0,0.202,1787634343.525,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0013,Centralized,EAST,EAST,L90,50,True,True,1.816,0.122,0.0,0.122,1787634343.527,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0014,Centralized,WEST,WEST,L90,50,True,True,1.503,0.107,0.0,0.107,1787634343.528,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0015,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.403,0.104,0.0,0.104,1787634343.529,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0016,Centralized,EAST,EAST,L90,50,True,True,1.532,0.098,0.0,0.098,1787634343.531,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0017,Centralized,WEST,WEST,L90,50,True,True,1.521,0.125,0.0,0.125,1787634343.533,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0018,Centralized,CENTRAL,WEST,L90,50,False,True,1.801,0.107,0.0,0.107,1787634343.534,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0019,Centralized,EAST,EAST,L90,50,True,True,1.624,0.138,0.0,0.138,1787634343.536,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0020,Centralized,WEST,WEST,L90,50,True,True,1.886,0.207,0.0,0.207,1787634343.538,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0021,Centralized,CENTRAL,CENTRAL,L90,50,True,True,3.152,0.385,0.0,0.385,1787634343.541,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0022,Centralized,EAST,CENTRAL,L90,50,False,True,2.993,0.441,0.0,0.441,1787634343.544,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0023,Centralized,WEST,WEST,L90,50,True,True,2.587,0.422,0.0,0.422,1787634343.547,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0024,Centralized,CENTRAL,WEST,L90,50,False,True,2.43,0.169,0.0,0.169,1787634343.549,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0025,Centralized,EAST,EAST,L90,50,True,True,1.736,0.144,0.0,0.144,1787634343.551,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0026,Centralized,WEST,WEST,L90,50,True,True,1.465,0.103,0.0,0.103,1787634343.552,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0027,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.325,0.093,0.0,0.093,1787634343.554,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0028,Centralized,EAST,EAST,L90,50,True,True,1.375,0.141,0.0,0.141,1787634343.555,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0029,Centralized,WEST,WEST,L90,50,True,True,1.242,0.105,0.0,0.105,1787634343.556,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0030,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.147,0.096,0.0,0.096,1787634343.558,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0031,Centralized,EAST,EAST,L90,50,True,True,1.277,0.095,0.0,0.095,1787634343.559,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0032,Centralized,WEST,WEST,L90,50,True,True,1.278,0.113,0.0,0.113,1787634343.56,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0033,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.259,0.139,0.0,0.139,1787634343.561,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0034,Centralized,EAST,EAST,L90,50,True,True,1.212,0.094,0.0,0.094,1787634343.563,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0035,Centralized,WEST,WEST,L90,50,True,True,1.344,0.111,0.0,0.111,1787634343.564,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0036,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.491,0.113,0.0,0.113,1787634343.565,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0037,Centralized,EAST,EAST,L90,50,True,True,1.267,0.099,0.0,0.099,1787634343.567,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0038,Centralized,WEST,WEST,L90,50,True,True,1.185,0.095,0.0,0.095,1787634343.568,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0039,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.154,0.095,0.0,0.095,1787634343.569,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0040,Centralized,EAST,EAST,L90,50,True,True,1.108,0.092,0.0,0.092,1787634343.57,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0041,Centralized,WEST,WEST,L90,50,True,True,1.241,0.087,0.0,0.087,1787634343.571,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0042,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.409,0.101,0.0,0.101,1787634343.573,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0043,Centralized,EAST,EAST,L90,50,True,True,1.124,0.096,0.0,0.096,1787634343.574,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0044,Centralized,WEST,WEST,L90,50,True,True,1.097,0.094,0.0,0.094,1787634343.575,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial2,req_0045,Centralized,CENTRAL,CENTRAL,L90,50,True,True,1.189,0.134,0.0,0.134,1787634343.576,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
