trial_id,request_id,architecture,source_region,target_region,locality_configuration,configured_network_delay_ms,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial1,req_0001,Centralized,EAST,EAST,L50,50,True,True,1.354,0.104,0.0,0.104,1787634372.177,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0002,Centralized,WEST,WEST,L50,50,True,True,1.305,0.097,0.0,0.097,1787634372.178,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0003,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.271,0.134,0.0,0.134,1787634372.18,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0004,Centralized,EAST,EAST,L50,50,True,True,1.299,0.102,0.0,0.102,1787634372.181,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0005,Centralized,WEST,CENTRAL,L50,50,False,True,1.217,0.102,0.0,0.102,1787634372.182,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0006,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.355,0.1,0.0,0.1,1787634372.183,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0007,Centralized,EAST,EAST,L50,50,True,True,1.293,0.093,0.0,0.093,1787634372.185,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0008,Centralized,WEST,EAST,L50,50,False,True,1.532,0.095,0.0,0.095,1787634372.186,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0009,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.598,0.106,0.0,0.106,1787634372.188,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0010,Centralized,EAST,EAST,L50,50,True,True,1.248,0.101,0.0,0.101,1787634372.189,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0011,Centralized,WEST,WEST,L50,50,True,True,1.3,0.103,0.0,0.103,1787634372.19,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0012,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.261,0.1,0.0,0.1,1787634372.192,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0013,Centralized,EAST,EAST,L50,50,True,True,1.202,0.099,0.0,0.099,1787634372.193,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0014,Centralized,WEST,CENTRAL,L50,50,False,True,1.206,0.099,0.0,0.099,1787634372.194,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0015,Centralized,CENTRAL,WEST,L50,50,False,True,1.247,0.098,0.0,0.098,1787634372.195,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0016,Centralized,EAST,EAST,L50,50,True,True,1.294,0.1,0.0,0.1,1787634372.197,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0017,Centralized,WEST,WEST,L50,50,True,True,1.207,0.096,0.0,0.096,1787634372.198,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0018,Centralized,CENTRAL,EAST,L50,50,False,True,1.169,0.091,0.0,0.091,1787634372.199,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0019,Centralized,EAST,EAST,L50,50,True,True,1.149,0.095,0.0,0.095,1787634372.2,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0020,Centralized,WEST,EAST,L50,50,False,True,1.187,0.095,0.0,0.095,1787634372.201,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0021,Centralized,CENTRAL,EAST,L50,50,False,True,1.466,0.113,0.0,0.113,1787634372.203,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0022,Centralized,EAST,WEST,L50,50,False,True,1.445,0.102,0.0,0.102,1787634372.204,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0023,Centralized,WEST,WEST,L50,50,True,True,1.258,0.093,0.0,0.093,1787634372.206,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0024,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.367,0.099,0.0,0.099,1787634372.207,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0025,Centralized,EAST,CENTRAL,L50,50,False,True,1.227,0.093,0.0,0.093,1787634372.208,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0026,Centralized,WEST,EAST,L50,50,False,True,1.223,0.111,0.0,0.111,1787634372.209,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0027,Centralized,CENTRAL,EAST,L50,50,False,True,1.27,0.085,0.0,0.085,1787634372.211,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0028,Centralized,EAST,WEST,L50,50,False,True,1.339,0.108,0.0,0.108,1787634372.212,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0029,Centralized,WEST,WEST,L50,50,True,True,1.188,0.116,0.0,0.116,1787634372.213,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0030,Centralized,CENTRAL,EAST,L50,50,False,True,1.198,0.097,0.0,0.097,1787634372.215,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0031,Centralized,EAST,WEST,L50,50,False,True,1.206,0.096,0.0,0.096,1787634372.216,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0032,Centralized,WEST,WEST,L50,50,True,True,1.124,0.093,0.0,0.093,1787634372.217,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0033,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.705,0.219,0.0,0.219,1787634372.219,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0034,Centralized,EAST,CENTRAL,L50,50,False,True,1.851,0.145,0.0,0.145,1787634372.22,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0035,Centralized,WEST,EAST,L50,50,False,True,1.876,0.15,0.0,0.15,1787634372.222,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0036,Centralized,CENTRAL,EAST,L50,50,False,True,2.019,0.149,0.0,0.149,1787634372.224,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0037,Centralized,EAST,WEST,L50,50,False,True,1.61,0.124,0.0,0.124,1787634372.226,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0038,Centralized,WEST,CENTRAL,L50,50,False,True,1.366,0.101,0.0,0.101,1787634372.227,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0039,Centralized,CENTRAL,WEST,L50,50,False,True,1.29,0.092,0.0,0.092,1787634372.229,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0040,Centralized,EAST,EAST,L50,50,True,True,1.282,0.097,0.0,0.097,1787634372.23,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0041,Centralized,WEST,CENTRAL,L50,50,False,True,1.272,0.089,0.0,0.089,1787634372.231,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0042,Centralized,CENTRAL,CENTRAL,L50,50,True,True,1.261,0.101,0.0,0.101,1787634372.233,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0043,Centralized,EAST,EAST,L50,50,True,True,1.134,0.087,0.0,0.087,1787634372.234,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
trial1,req_0044,Centralized,WEST,WEST,L50,50,True,True,1.182,0.099,0.0,0.099,1787634372.235,df913e31516d24ad13642d331362b2859ef58879791e726b9f755c3fd5315777
